ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location of occurrence,CHARLOTTE,,Open,Open,University City,1587340800000,1587340800000,1587340800000,14,{7891836B-A4BA-4222-B86F-34AC11534AB0},23H,All Other Thefts,20200420-1205-00,35.312263,8900 J W CLAY BV,Indoors,-80.75287,66,1527,Other - Retail,Retail,NC,1477109,2020,573191,28262,Point,-80.7528697805404,35.312262781724456,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1517529600000,1517788800000,1517788800000,21,{28A521EA-80F5-4219-9CF0-DC13EEA72FCE},23F,Theft From Motor Vehicle,20180205-0704-04,35.159594,400 GRIFFITH RD,Parking Lot,-80.888321,212,1528,Hotel/Motel,Commercial Place,NC,1435651,2018,518379,28217,Point,-80.88832090578681,35.15959407664107,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1571443200000,1571443200000,1571443200000,21,{696D8697-581C-43AB-BAC0-A60709C4EFCC},23C,Shoplifting,20191019-1624-00,35.171971,8400 STEELE CREEK RD,Indoors,-80.960852,84,1529,Drug Store,Retail,NC,1414066,2019,523303,28273,Point,-80.96085162751044,35.171971407869265,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1677974400000,1677974400000,1677974400000,21,{8063BE16-32D7-4E22-819A-81B751E0CFDE},23G,Theft of Motor Vehicle Parts from Vehicle,20230305-1503-05,35.139206,9100 KINGS PARADE BV,Parking Lot,-80.930532,92,1530,Theater,Commercial Place,NC,1422893,2023,511203,28273,Point,-80.93053184435604,35.13920599552143,
Location of occurrence,CHARLOTTE,1759968000000,Cleared by Other Means,Exceptionally Cleared,Providence,1759363200000,,1759363200000,16,{A401AAB2-DD2A-472A-A46D-D755BF6B4CBC},13B,Simple Assault,20251002-1713-00,35.194325,3500 WHEATLEY AV,Indoors,-80.804121,370,1531,Apartment/Duplex Private Res,Residential,NC,1461042,2025,530549,,Point,-80.80412132329532,35.194325121600144,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1697587200000,1760745600000,1760745600000,12,{87E44BD5-D706-4831-AF04-88DFE2A05A06},90Z,All Other Offenses,20251018-1006-01,35.238733,12200 STEWARTS CROSSING DR,Indoors,-80.657657,227,1532,Private Residence,Residential,NC,1505062,2025,545946,,Point,-80.65765684369485,35.23873347106508,
Location of occurrence,CHARLOTTE,1496620800000,Cleared by Arrest,Cleared by Arrest,Metro,1496620800000,,1496620800000,02,{29C7E3E9-7F5C-4002-82BF-69E7A1057B53},13B,Simple Assault,20170605-1735-03,35.2331,2400 FREEDOM DR,Parking Lot,-80.876256,6,1533,Other - Retail,Retail,NC,1439762,2017,545058,,Point,-80.87625573311553,35.23310047018173,
Location of occurrence,CHARLOTTE,1739923200000,"Cleared, Pending Arrest Validation",Open,Steele Creek,1685836800000,1685836800000,1685836800000,21,{ABC0B5AE-249C-4984-90DE-E796BBE3E75A},240,Motor Vehicle Theft,20230604-1208-00,35.154434,22000 LANI DR,Outdoors,-80.964773,174,1534,Private Residence,Residential,NC,1412768,2023,516945,28273,Point,-80.96477323405475,35.15443446439839,
Location where officer took report,CHARLOTTE,,Open,Open,Hickory Grove,1618790400000,1618963200000,1618963200000,12,{09265259-5FDD-4DD3-A8F5-E69B0EC56681},899,Other Unlisted Non-Criminal,20210421-2145-02,35.21252,7100 LANTERNTREE LN,Indoors,-80.67777,229,1535,Private Residence,Residential,NC,1498896,2021,536508,28215,Point,-80.67777004199625,35.212520014824484,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1723680000000,1724889600000,1724976000000,12,{D37178D2-64A4-42DC-B35B-ED44D4E9BE91},26A,False Pretenses/Swindle,20240830-1007-00,35.210913,9600 ALBEMARLE RD,Indoors,-80.682482,220,1536,Auto Parts/Service Center,Retail,NC,1497479,2024,535947,28227,Point,-80.68248162844965,35.210912897202235,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1693785600000,1694131200000,1694131200000,21,{68F140E7-F04E-4E67-83E2-CB743ED844C3},23F,Theft From Motor Vehicle,20230908-0632-01,35.13363,9000 LENOX POINTE DR,Parking Lot,-80.937201,92,1537,Apartment/Duplex Private Res,Residential,NC,1420860,2023,509213,28273,Point,-80.93720100056687,35.13363028556523,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1601942400000,1601942400000,1601942400000,16,{C45DB212-D6DD-47A5-9128-C70A6027DD39},90Z,All Other Offenses,20201006-1324-02,35.196715,1400 N WENDOVER RD,Outdoors,-80.791271,18,1538,Street/Highway,Open Area,NC,1464896,2020,531349,,Point,-80.79127147480266,35.19671466454934,
Location of occurrence,CHARLOTTE,1671062400000,Cleared by Other Means,Exceptionally Cleared,Airport,1671062400000,,1671062400000,28,{A9B6FF45-25FF-4F53-8E17-E013B9B8CD89},35A,Drug/Narcotic Violations,20221215-1421-01,35.223126,5500 JOSH BIRMINGHAM PY,Indoors,-80.946065,122,1539,Air/Bus/Train Terminal,Public/Non-Residential,NC,1418849,2022,541830,28208,Point,-80.94606454299678,35.223126442412884,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1694995200000,,1694995200000,02,{307F28AF-8F92-49B8-B966-E35ACF2042C3},220,Burglary/B&E,20230918-0430-01,35.236524,2400 TUCKASEEGEE RD,Indoors,-80.874506,293,1540,Apartment/Duplex Private Res,Residential,NC,1440308,2023,546294,,Point,-80.87450575070295,35.23652431940609,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1653868800000,,1653955200000,21,{FF58C74D-F71B-49F9-8754-07F083CDFAA4},290,Damage/Vandalism Of Property,20220531-1032-01,35.121312,8600 SOUTH BV,Outdoors,-80.880203,185,1541,Street/Highway,Open Area,NC,1437813,2022,504403,28273,Point,-80.88020293686239,35.12131184262961,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1624838400000,1624924800000,1624924800000,12,{BFCDAFC1-D04E-464A-8B0C-0DA391D02FA1},23F,Theft From Motor Vehicle,20210629-2039-00,35.243441,7000 MISTY MORN DR,Outdoors,-80.736978,325,1542,Private Residence,Residential,NC,1481411,2021,548064,28215,Point,-80.7369775859983,35.243441114371116,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1513728000000,,1513728000000,01,{A17F0E2A-BF40-4CBE-9F17-9641A6E03CF4},23C,Shoplifting,20171220-1508-01,35.225651,100 W 3RD ST,Indoors,-80.845306,476,1543,Other - Commercial Place,Commercial Place,NC,1448952,2017,542174,28202,Point,-80.84530574563809,35.22565088200338,
Location of occurrence,CHARLOTTE,1562198400000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1552694400000,1552694400000,1552694400000,12,{BCBC89C6-2BC8-4B23-962D-27E63275C218},13B,Simple Assault,20190316-1532-01,35.234506,11800 STEWARTS CROSSING DR,Indoors,-80.657946,227,1544,Private Residence,Residential,NC,1504950,2019,544409,,Point,-80.65794592062811,35.234505760464415,
Location where officer took report,CHARLOTTE,1655942400000,Located (Missing Persons and Runaways only),Exceptionally Cleared,University City,1652054400000,,1652054400000,14,{B17A9606-8F1F-4FD5-AE27-D074EE157703},800,Missing Person,20220509-0154-00,35.303235,8500 N TRYON ST,Indoors,-80.751401,331,1545,Hotel/Motel,Commercial Place,NC,1477489,2022,569898,28262,Point,-80.75140144557004,35.303234668983286,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1501545600000,1501545600000,1501545600000,02,{A849849D-1B25-4A68-9299-9678229017AA},220,Burglary/B&E,20170801-1317-00,35.249636,2300 EDISON ST,Outdoors,-80.830352,363,1546,Private Residence,Residential,NC,1453578,2017,550819,28206,Point,-80.8303518057635,35.249635674045344,
Location of occurrence,CHARLOTTE,,Open,Open,North,1728259200000,,1728259200000,11,{51FD9A34-6FD3-4721-8B83-241D343B8B06},13C,Intimidation,20241007-1421-00,35.345861,9400 PERIMETER STATION DR,Indoors,-80.851505,207,1547,Apartment/Duplex Private Res,Residential,NC,1447917,2024,585951,28216,Point,-80.85150475853692,35.34586058761775,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1767225600000,1767225600000,1767225600000,02,{1872917D-A84A-481C-8255-719AB3B3F877},899,Other Unlisted Non-Criminal,20260101-1810-00,35.239476,1100 N GRAHAM ST,Outdoors,-80.835945,157,1548,Gas Station,Retail,NC,1451840,2026,547153,,Point,-80.8359451797513,35.23947628603239,
Location of occurrence,CHARLOTTE,1632787200000,Victim Chose not to Prosecute,Exceptionally Cleared,Eastway,1632614400000,1632614400000,1632614400000,06,{24A393F1-BBC2-4C83-9C39-96C60284C9E1},90Z,All Other Offenses,20210926-2110-00,35.201563,3600 E INDEPENDENCE BV,Parking Lot,-80.782509,365,1549,Restaurant/Diner/Coffee Shop,Commercial Place,NC,1467545,2021,533066,28205,Point,-80.78250899973142,35.20156267767047,
Location of occurrence,CHARLOTTE,,Open,Open,South,1512086400000,1512086400000,1512086400000,22,{C42AB083-861B-4BD9-9235-4D876C419694},220,Burglary/B&E,20171201-2206-00,35.104845,9400 KINGS FALLS DR,Indoors,-80.860303,129,1550,Private Residence,Residential,NC,1443650,2017,498299,28210,Point,-80.86030349422161,35.104844924876765,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1736467200000,1736467200000,1736467200000,07,{DE66FC75-8E7A-4B39-8874-21248A7EF356},90Z,All Other Offenses,20250110-2356-00,35.27568,5100 REAGAN DR,Outdoors,-80.805432,138,1551,Street/Highway,Open Area,NC,1461189,2025,560160,,Point,-80.80543187340349,35.27568013583263,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1737936000000,1737936000000,1743033600000,06,{341D55EE-3573-42D1-9BA8-9D70804C14DE},13B,Simple Assault,20250327-1551-00,35.225582,1000 SKYLINE VIEW WY,Indoors,-80.826506,200,1552,Apartment/Duplex Private Res,Residential,NC,1454565,2025,542045,28204,Point,-80.82650569404197,35.2255817041772,
Location of occurrence,CHARLOTTE,1638835200000,Cleared by Arrest,Cleared by Arrest,University City,1638748800000,1638748800000,1638748800000,14,{07EAE08E-47B2-4765-A6A0-6AB58C4DA184},13B,Simple Assault,20211206-2203-03,35.317461,2300 KEATON AV,Indoors,-80.781749,14,1553,Apartment/Duplex Private Res,Residential,NC,1468529,2021,575236,,Point,-80.78174912735747,35.317461111567866,
Location of occurrence,CHARLOTTE,1540339200000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1539734400000,,1539734400000,12,{E0A137F9-C7B3-4164-82AB-58C83EAA6979},13B,Simple Assault,20181017-0750-02,35.19472,1900 PATRIOT DR,Indoors,-80.684357,145,1554,School - Primary or Secondary,Public/Non-Residential,NC,1496819,2018,530064,28227,Point,-80.68435676785337,35.19471987274096,
Location of occurrence,CHARLOTTE,,Open,Open,Eastway,1572825600000,1572912000000,1572912000000,06,{C0BBED3C-9F12-4CAA-8E45-9DD7633C20B3},23F,Theft From Motor Vehicle,20191105-1005-02,35.214015,1500 BRIAR CREEK RD,Outdoors,-80.789921,86,1555,Other - Residential,Residential,NC,1465413,2019,537637,28205,Point,-80.78992067519584,35.21401487634057,
Location of occurrence,CHARLOTTE,,Open,Open,North,1642204800000,1642204800000,1642204800000,11,{BC53A6C6-ECDB-4067-A8DF-CAF493711C3E},13A,Aggravated Assault,20220115-1939-00,35.29164,4400 LOTHAR RIDGE LN,Indoors,-80.854421,139,1556,Private Residence,Residential,NC,1446679,2022,566237,28214,Point,-80.85442073029323,35.29163984375821,
Location of occurrence,CHARLOTTE,1667779200000,Located (Missing Persons and Runaways only),Exceptionally Cleared,Metro,1667692800000,,1667692800000,02,{3FA9038C-3A67-4C4D-95E7-4D6D2B5388C9},800,Missing Person,20221106-2039-50,35.233061,2900 ROXTON CT,Indoors,-80.888658,124,1557,Private Residence,Residential,NC,1436059,2022,545114,,Point,-80.88865778907022,35.233061382302346,
Location of occurrence,CHARLOTTE,1596153600000,Cleared by Other Means,Exceptionally Cleared,Freedom,1595030400000,,1595030400000,27,{5328139A-0CAD-4B0C-B9F5-A38111D10FC8},807,Public Accident,20200718-0012-02,35.240206,100 AIRPORT COMMONS DR,Parking Lot,-80.924113,140,1558,Hotel/Motel,Commercial Place,NC,1425524,2020,547917,,Point,-80.92411303985088,35.24020580992925,
Location of occurrence,CHARLOTTE,1583625600000,Cleared by Arrest,Cleared by Arrest,Providence,1583625600000,1583625600000,1583625600000,16,{F38495C9-C0D7-4D4C-AA4C-DA8CDFD1FC32},35A,Drug/Narcotic Violations,20200308-2134-00,35.173879,400 S SHARON AMITY RD,Outdoors,-80.803401,28,1559,Street/Highway,Open Area,NC,1461122,2020,523105,,Point,-80.80340095803402,35.17387871011966,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1680220800000,1680480000000,1680480000000,16,{D3D1E310-3795-4C56-9F35-B888EB7FEFA3},290,Damage/Vandalism Of Property,20230403-0851-00,35.168435,3100 PROVIDENCE RD,Outdoors,-80.804823,193,1560,Church/Synagogue/Temple,Public/Non-Residential,NC,1460661,2023,521132,28211,Point,-80.80482336201912,35.168435389918734,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1555804800000,,1555804800000,07,{EFB2A8D7-C737-4F6B-B626-9FC56AAB7543},13B,Simple Assault,20190421-1413-01,35.266035,5900 N TRYON ST,Indoors,-80.76909,234,1561,Bar/Tavern/Nightclub,Commercial Place,NC,1471971,2019,556455,,Point,-80.76909037925293,35.26603508863202,
Location of occurrence,CHARLOTTE,1689724800000,Victim Chose not to Prosecute,Exceptionally Cleared,Independence,1689033600000,1689033600000,1689033600000,17,{3BC8995A-7815-404F-8587-E10762BFE884},13B,Simple Assault,20230711-1601-05,35.156736,7700 KREFELD GLEN DR,Indoors,-80.736037,272,1562,Apartment/Duplex Private Res,Residential,NC,1481140,2023,516508,28212,Point,-80.73603689634118,35.156735560084535,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1763164800000,1763164800000,1763424000000,27,{E9936B7A-F255-448B-92DE-25D2A9153755},290,Damage/Vandalism Of Property,20251118-0901-05,35.266744,6600 GLENMOOR DR,Outdoors,-80.942071,333,1563,Private Residence,Residential,NC,1420352,2025,557678,28214,Point,-80.94207091172682,35.266743895295434,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1505174400000,1505260800000,1505260800000,02,{1C337C94-BD30-4349-A405-F5FBFEE3CB73},23F,Theft From Motor Vehicle,20170913-0538-00,35.23652,100 GRANDIN RD,Parking Lot,-80.859654,51,1564,Apartment/Duplex Private Res,Residential,NC,1444742,2017,546209,,Point,-80.85965367000404,35.23651993668511,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1702166400000,1706832000000,1706918400000,14,{8C479C15-CADE-4F55-B20F-D9DD74767685},13C,Intimidation,20240203-1932-01,35.376642,6400 BELL'S MILL DR,Outdoors,-80.750332,372,1565,Street/Highway,Open Area,NC,1478279,2024,596605,28269,Point,-80.7503322348146,35.37664207673373,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1655510400000,1655510400000,1655683200000,01,{A5078E85-1A6D-4C0B-B0CD-5F7302B45C3F},23H,All Other Thefts,20220620-1615-01,35.224709,300 S COLLEGE ST,Outdoors,-80.844206,476,1566,Street/Highway,Open Area,NC,1449274,2022,541825,28202,Point,-80.84420599756812,35.224708550523665,
Location of occurrence,CHARLOTTE,1624320000000,Victim Chose not to Prosecute,Exceptionally Cleared,University City,1622851200000,1622851200000,1622851200000,14,{E24C6ADF-C061-40C4-8C18-71ACDB771A49},13C,Intimidation,20210605-1941-01,35.332912,200 GRACYN OLIVIA DR,Indoors,-80.711936,155,1567,Apartment/Duplex Private Res,Residential,NC,1489448,2021,580492,,Point,-80.71193650023135,35.33291175121652,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1527379200000,1527379200000,1527379200000,17,{57E7515C-72BF-44B4-8471-33E713B0B221},23F,Theft From Motor Vehicle,20180527-2007-02,35.142688,2200 CORONATION BV,Parking Lot,-80.73103,287,1568,Fitness Center,Commercial Place,NC,1482547,2018,511370,28212,Point,-80.73103047679697,35.14268753776476,
Location of occurrence,CHARLOTTE,1615939200000,Cleared by Other Means,Exceptionally Cleared,Westover,1615939200000,1615939200000,1615939200000,26,{AA0A8E78-D8E2-4572-885B-6388588F470C},809,Vehicle Recovery,20210317-1124-03,35.199196,1100 ROLLINGWOOD DR,Outdoors,-80.889861,362,1569,Street/Highway,Open Area,NC,1435465,2021,532798,,Point,-80.88986149355905,35.199196101843704,
Location of occurrence,CHARLOTTE,1757462400000,Cleared by Arrest,Cleared by Arrest,Metro,1757462400000,1757462400000,1757462400000,02,{98DF0C8D-7AEB-4CEB-9255-67355671E0E4},90Z,All Other Offenses,20250910-0204-02,35.252036,2000 OAKLAWN AV,Outdoors,-80.853907,311,1570,Street/Highway,Open Area,NC,1446563,2025,551823,,Point,-80.85390734894773,35.252036190874364,
Location where officer took report,CHARLOTTE,1619395200000,Cleared by Other Means,Exceptionally Cleared,Independence,1555891200000,1617408000000,1617667200000,17,{D4A5A98A-346E-4572-9E86-51BE6E661A20},13C,Intimidation,20210406-1131-01,35.13221,100 CHADMORE DR,Indoors,-80.762357,175,1571,Private Residence,Residential,NC,1473116,2021,507722,28270,Point,-80.76235670855758,35.13220952680863,
Location where officer took report,CHARLOTTE,,Open,Open,North Tryon,1724889600000,,1727913600000,07,{90EA6CBD-EFEF-4639-8CF2-9B266A903FB4},90Z,All Other Offenses,20241003-1037-01,35.265651,1100 W CRAIGHEAD RD,Outdoors,-80.806416,138,1572,Other - Commercial Place,Commercial Place,NC,1460829,2024,556516,28206,Point,-80.80641572005922,35.26565136508951,
Location of occurrence,CHARLOTTE,,Open,Open,Central,1736467200000,1736467200000,1736467200000,01,{BFFBC0D5-8D90-4D07-AF09-43B195CC4198},90Z,All Other Offenses,20250110-0201-00,35.227199,100 N TRYON ST,Outdoors,-80.843083,476,1573,Street/Highway,Open Area,NC,1449626,2025,542725,28202,Point,-80.84308348073665,35.227198988510914,
Location of occurrence,CHARLOTTE,1530748800000,Cleared by Arrest,Cleared by Arrest,Independence,1527897600000,1527897600000,1527897600000,17,{345FA37C-1A32-4D10-9727-31A2A5466BB9},35A,Drug/Narcotic Violations,20180602-0037-02,35.199517,3000 N SHARON AMITY RD,Parking Lot,-80.760833,16,1574,Bar/Tavern/Nightclub,Commercial Place,NC,1474006,2018,532206,,Point,-80.760832898722,35.199516865282476,
Location of occurrence,CHARLOTTE,1541116800000,Cleared by Arrest,Cleared by Arrest,Steele Creek,1538092800000,1540339200000,1540339200000,21,{7257FB0D-B854-45B9-A16E-BB9CADE72298},270,Embezzlement,20181024-1725-00,35.142431,8100 S TRYON ST,Indoors,-80.930622,96,1575,Department Store,Retail,NC,1422889,2018,512377,,Point,-80.93062158988666,35.14243097538198,
Location of occurrence,CHARLOTTE,,Open,Open,North Tryon,1491868800000,1491955200000,1491955200000,07,{BE636878-B806-483A-84E3-825EF924B50E},23F,Theft From Motor Vehicle,20170412-1022-01,35.259211,200 LAMBETH DR,Outdoors,-80.781479,371,1576,Day Care,Commercial Place,NC,1468229,2017,554038,,Point,-80.7814794601807,35.25921121092773,
Location of occurrence,CHARLOTTE,,Open,Open,North,1755648000000,1755734400000,1756252800000,11,{F30884EF-98DA-4D35-AC92-987AD76DE412},23H,All Other Thefts,20250827-0956-00,35.315287,4700 PALUSTRIS CT,Outdoors,-80.829706,117,1577,Other - Residential,Residential,NC,1454211,2025,574705,,Point,-80.82970648654306,35.31528679710429,
Location where officer took report,CHARLOTTE,1646438400000,Cleared by Other Means,Exceptionally Cleared,Westover,1646352000000,,1646352000000,26,{9C2E934F-1B74-4247-B56A-37CE19595A4B},899,Other Unlisted Non-Criminal,20220304-1941-02,35.185512,4400 S TRYON ST,Parking Lot,-80.88533,290,1578,Hotel/Motel,Commercial Place,NC,1436724,2022,527793,,Point,-80.88532965547688,35.185512206374696,
Location of occurrence,CHARLOTTE,1653004800000,Unfounded,Unfounded,Hickory Grove,1652745600000,1652745600000,1652745600000,12,{D47F584C-2026-4BEC-ADEA-59BA2671E264},120,Robbery,20220517-0401-00,35.23213,4600 SHARON CHASE DR,Outdoors,-80.744584,168,1579,Street/Highway,Open Area,NC,1479068,2022,543988,,Point,-80.74458378616424,35.232130471562456,
Location of occurrence,CHARLOTTE,1579478400000,Cleared by Arrest,Cleared by Arrest,Providence,1570320000000,,1570320000000,16,{38043AB0-CBC9-4216-A76B-6F34B4240804},90J,Trespass Of Real Property,20191006-1010-02,35.190028,800 N WENDOVER RD,Outdoors,-80.798362,370,1580,Convenience Store,Retail,NC,1462734,2019,528954,,Point,-80.7983620086327,35.19002763957906,
Location of occurrence,CHARLOTTE,1643932800000,Cleared by Arrest,Cleared by Arrest,Hickory Grove,1642809600000,,1642809600000,12,{996D7FAC-A9C2-44F5-A9F7-A09E7E354261},13B,Simple Assault,20220122-2150-00,35.206395,6000 LAKE FOREST RD E,Indoors,-80.71863,59,1581,Apartment/Duplex Private Res,Residential,NC,1486655,2022,534488,28215,Point,-80.71862954403905,35.20639517142157,
Location of occurrence,CHARLOTTE,1582588800000,Victim Chose not to Prosecute,Exceptionally Cleared,North Tryon,1580774400000,,1580774400000,07,{B2F78A1B-33A9-42BC-94C6-9AA412DE0E99},13B,Simple Assault,20200204-1730-00,35.244579,1500 SAFFRON CT,Outdoors,-80.773133,40,1582,Private Residence,Residential,NC,1470625,2020,548669,,Point,-80.77313312373755,35.24457926026133,
Location of occurrence,CHARLOTTE,,Open,Open,Westover,1627257600000,1627257600000,1627257600000,26,{DF00D4A3-1A5B-441B-BA33-F93C731783BD},290,Damage/Vandalism Of Property,20210726-2306-02,35.178958,700 YORKMONT RD,Outdoors,-80.890962,178,1583,Hotel/Motel,Commercial Place,NC,1434996,2021,525440,,Point,-80.89096200980987,35.17895776328483,
Location where officer took report,CHARLOTTE,,Open,Open,University City,1545004800000,,1545004800000,14,{9744F382-BD41-4120-8513-6824882D3212},899,Other Unlisted Non-Criminal,20181217-0939-01,35.29012,8200 UNIVERSITY RIDGE DR,Outdoors,-80.734837,221,1584,Apartment/Duplex Private Res,Residential,NC,1482347,2018,565039,28213,Point,-80.73483667718804,35.29012033025749,
Location of occurrence,CHARLOTTE,,Open,Open,Hickory Grove,1734566400000,1734652800000,1734912000000,12,{485BBF09-B2E4-4651-9918-0A3E38D497F1},23H,All Other Thefts,20241223-2159-04,35.209459,1500 KELSTON PL,Parking Lot,-80.743804,127,1585,Apartment/Duplex Private Res,Residential,NC,1479156,2024,535734,28212,Point,-80.74380361463312,35.20945893742804,
Location of occurrence,CHARLOTTE,1725840000000,Cleared by Arrest,Cleared by Arrest,Providence,1725840000000,1725840000000,1725840000000,16,{E0E326DA-26CC-44AF-83CC-ADAB4FD8E42F},35A,Drug/Narcotic Violations,20240909-0146-00,35.201039,3800 E INDEPENDENCE BV,Outdoors,-80.77703,240,1586,Street/Highway,Open Area,NC,1469178,2024,532846,,Point,-80.77703016379645,35.20103872592948,
Location where officer took report,CHARLOTTE,1593561600000,Victim Chose not to Prosecute,Exceptionally Cleared,Metro,1591315200000,,1591315200000,02,{E51D1934-98CF-4CD3-B10E-1DF9D86702BD},23H,All Other Thefts,20200605-1858-03,35.245418,3600 GLENWOOD DR,Parking Lot,-80.885447,6,1587,Private Residence,Residential,NC,1437103,2020,549592,28208,Point,-80.88544704375019,35.24541772378533,
Location of occurrence,CHARLOTTE,,Open,Open,North,1532563200000,1532563200000,1532563200000,11,{3E3D40E9-084C-463A-A114-DF5D6ADE020D},220,Burglary/B&E,20180726-1132-00,35.348693,7100 SMITH CORNERS BV,Indoors,-80.843469,72,1588,Department Store,Retail,NC,1450332,2018,586937,28269,Point,-80.84346890811878,35.348692746451526,
Location of occurrence,CHARLOTTE,,Open,Open,Metro,1555545600000,1555632000000,1555632000000,02,{C6EF0586-08A7-4B8B-98A0-1C2AD3BEDBA1},240,Motor Vehicle Theft,20190419-0849-02,35.241315,2800 TUCKASEEGEE RD,Outdoors,-80.876767,293,1589,Private Residence,Residential,NC,1439666,2019,548050,,Point,-80.87676658201869,35.241315027724,
Location of occurrence,CHARLOTTE,,Open,Open,Independence,1595376000000,1595462400000,1595462400000,17,{7D45472B-9725-435F-AD02-FC4078289396},23H,All Other Thefts,20200723-1346-01,35.178866,2400 MASON WALLACE DR,Outdoors,-80.756434,52,1590,Apartment/Duplex Private Res,Residential,NC,1475187,2020,524668,28212,Point,-80.75643373695402,35.17886555141961,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1638662400000,1638748800000,1638748800000,14,{85F24D5A-6D1D-42CD-BFF9-19B7CFF91348},23F,Theft From Motor Vehicle,20211206-0023-01,35.334067,3500 DAVID COX RD,Outdoors,-80.790188,275,1591,Street/Highway,Open Area,NC,1466121,2021,581324,28269,Point,-80.79018819099338,35.33406690060586,
Location of occurrence,CHARLOTTE,,Open,Open,Steele Creek,1491004800000,1491091200000,1491091200000,21,{6C46EA30-F998-4A61-AF69-B7BEF381E1C4},220,Burglary/B&E,20170402-0621-01,35.169195,5500 NEW FASHION WY,Indoors,-80.971043,45,1592,Department Store,Retail,NC,1411001,2017,522353,28217,Point,-80.9710429684888,35.16919484075596,
Location of occurrence,CHARLOTTE,1732665600000,"Cleared, Pending Arrest Validation",Open,Eastway,1714780800000,1714780800000,1714780800000,06,{D66C119B-ED4E-445D-946B-8F02464C5912},23C,Shoplifting,20240504-0746-00,35.212136,3200 EASTWAY DR,Indoors,-80.781655,164,1593,Grocery Store/Supermarket,Retail,NC,1467869,2024,536909,28205,Point,-80.7816554475039,35.2121362816889,
Location of occurrence,CHARLOTTE,1578182400000,Cleared by Other Means,Exceptionally Cleared,North Tryon,1574812800000,,1574812800000,07,{4DE80B11-A2A0-44EB-A631-2B00EFCD8CF1},899,Other Unlisted Non-Criminal,20191127-1914-01,35.258192,5200 N TRYON ST,Outdoors,-80.781115,371,1594,Street/Highway,Open Area,NC,1468331,2019,553665,28213,Point,-80.78111540643337,35.25819152962259,
Location of occurrence,CHARLOTTE,,Open,Open,University City,1524700800000,1524700800000,1525651200000,14,{2021DCC0-DC5F-4724-B202-4502AC735370},26B,Credit Card/Teller Fraud,20180507-1311-00,35.298558,8200 UNIVERSITY EXECUTIVE PARK DR,Indoors,-80.7542,331,1595,Hospital/Medical Facility,Public/Non-Residential,NC,1476624,2018,568211,28262,Point,-80.75420031771841,35.29855816820029,
Location of occurrence,CHARLOTTE,1570060800000,Cleared by Arrest,Cleared by Arrest,North,1537142400000,1537228800000,1537228800000,11,{E632D717-6019-4EBD-BF75-F02205434941},23F,Theft From Motor Vehicle,20180918-1357-01,35.307636,6600 DEVONGATE LN,Outdoors,-80.826779,150,1596,Private Residence,Residential,NC,1455033,2018,571905,,Point,-80.82677871505426,35.307636332609704,
Location of occurrence,CHARLOTTE,1548288000000,Victim Chose not to Prosecute,Exceptionally Cleared,Independence,1540771200000,1541808000000,1542153600000,17,{8002DEAE-2F85-4630-8ABA-9D0939F58E0E},90Z,All Other Offenses,20181114-1432-01,35.14813,100 BOYCE RD,Indoors,-80.771507,15,1597,Private Residence,Residential,NC,1470484,2018,513564,28211,Point,-80.77150720665635,35.148130352372554,
